Nt-3,Nt-2,Nt-1,Qt-2,Qt-1,Qt,Q1+Q2,Q1+Q2+Q3,Q1+q2+q3+q4,Qmax,Rt,Rt-1,Vt-1,Vt-2,YZ3,Y3,N
22.69081768,26.22966484,21.50982064,310.3,177.4,100.5,277.9,588.2,679.4,23.1,161.1,153.11,7.99,10.09,1232.9,1189.4,10.19959924
26.22966484,21.50982064,10.19959924,177.4,100.5,85.5,186,363.4,673.7,20.3,171.19,161.1,10.09,18.08,1253.5,1232.9,-3.720442359
21.50982064,10.19959924,-3.720442359,100.5,85.5,41.9,127.4,227.9,405.3,18.3,174.71,171.19,3.52,13.61,1268.3,1253.5,-16.53249232
10.19959924,-3.720442359,-16.53249232,85.5,41.9,9,50.9,136.4,236.9,3.3,174.65,174.71,-0.06,3.46,1264.2,1268.3,-24.71734282
-3.720442359,-16.53249232,-24.71734282,41.9,9,14.5,23.5,65.4,150.9,5.4,173.29,174.65,-1.36,-1.42,1262,1264.2,-25.77781416
-16.53249232,-24.71734282,-25.77781416,9,14.5,13.5,28,37,78.9,5.6,168.74,173.29,-4.55,-5.91,1264.8,1262,-19.24564357
-24.71734282,-25.77781416,-19.24564357,14.5,13.5,26.8,40.3,54.8,63.8,10.8,164.74,168.74,-4,-8.55,1273.8,1264.8,-6.42128681
-25.77781416,-19.24564357,-6.42128681,13.5,26.8,38.5,65.3,78.8,93.3,13.4,159.97,164.74,-4.77,-8.77,1281.9,1273.8,8.848112018
-19.24564357,-6.42128681,8.848112018,26.8,38.5,96.2,134.7,161.5,175,56.7,153.97,159.97,-6,-10.77,1291.6,1281.9,22.02825224
-6.42128681,8.848112018,22.02825224,38.5,96.2,186.5,282.7,321.2,348,68.1,147.06,153.97,-6.91,-12.91,1304.8,1291.6,29.1687414
8.848112018,22.02825224,29.1687414,96.2,186.5,75.3,261.8,358,396.5,36,146.19,147.06,-0.87,-7.78,1354.9,1304.8,26.79856492
22.02825224,29.1687414,26.79856492,186.5,75.3,187.5,262.8,449.3,545.5,67,149.32,146.19,3.13,2.26,1473,1354.9,14.51682133
29.1687414,26.79856492,14.51682133,75.3,187.5,73.7,261.2,336.5,523,18.6,158.25,149.32,8.93,12.06,1483.7,1473,-2.832104646
26.79856492,14.51682133,-2.832104646,187.5,73.7,115.1,188.8,376.3,451.6,33.7,172.02,158.25,13.77,22.7,1506.9,1483.7,-19.31287082
14.51682133,-2.832104646,-19.31287082,73.7,115.1,110.8,225.9,299.6,487.1,21.3,174.64,172.02,2.62,16.39,1498.4,1506.9,-29.37125379
-2.832104646,-19.31287082,-29.37125379,115.1,110.8,22.2,133,248.1,321.8,5.6,174.73,174.64,0.09,2.71,1511.1,1498.4,-28.12186589
-7.597979512,-20.6369756,-28.12186589,110.8,22.2,13.2,35.4,146.2,261.3,2.3,173.5,174.73,-1.23,-1.14,1514.6,1511.1,12.89654241
-7.816674352,3.912786893,12.89654241,22.2,13.2,5.2,18.4,40.6,151.4,2,170.7,173.5,-2.8,-4.03,1514.6,1514.6,14.52419642
-6.300641631,5.616476858,14.52419642,13.2,5.2,49.5,54.7,67.9,90.1,22,165.59,170.7,-5.11,-7.91,1521.5,1514.6,6.172703264
-4.146731121,2.204631963,6.172703264,5.2,49.5,54,103.5,108.7,121.9,12.7,163.61,165.59,-1.98,-7.09,1528.5,1521.5,13.59535727
-0.00669356,8.72860122,13.59535727,49.5,54,116.5,170.5,220,225.2,28.4,157.8,163.61,-5.81,-7.79,1531.2,1528.5,16.01557448
2.888135822,11.19908277,16.01557448,54,116.5,66,182.5,236.5,286,32.7,146.91,157.8,-10.89,-16.7,1537.1,1531.2,19.00557552
5.020102044,13.67829683,19.00557552,116.5,66,168.4,234.4,350.9,404.9,95.1,155.23,146.91,8.32,-2.57,1564.5,1537.1,31.82939934
-27.3626554,2.127767525,31.82939934,66,168.4,32.5,200.9,266.9,383.4,11.2,152.98,155.23,-2.25,6.07,1731.3,1564.5,3.719986276
-1.14086765,3.178556775,3.719986276,168.4,32.5,112.2,144.7,313.1,379.1,37.2,163.004,152.98,10.024,7.774,1711.4,1731.3,-17.76890737
2.899253258,-9.786119507,-17.76890737,32.5,112.2,61.5,173.7,206.2,374.6,12.6,173.09,163.004,10.086,20.11,1736.7,1711.4,-25.46478258
0.619673808,-15.4834217,-25.46478258,112.2,61.5,31.2,92.7,204.9,237.4,11.5,174.16,173.09,1.07,11.156,1761.4,1736.7,-31.90923157
-3.387710728,-21.13294649,-31.90923157,61.5,31.2,19.7,50.9,112.4,224.6,6.6,174.1,174.16,-0.06,1.01,1749.7,1761.4,-28.97242916
