T-3,T-2,T-1,Qt-2,Qt-1,QT,Q1+Q2,Q1+Q2+Q3,Q1+Q1+Q3+Q4,Qmax,RT,Rt-1,Vt-1,Vt-2,d,Y,N
16.06627443,21.58812514,18.60699155,311,189.8,123.2,313,624,696.7,34.3,161.1,153.11,7.99,10.09,2048.4,1993.6,-4.533959861
21.58812514,18.60699155,-4.533959861,189.8,123.2,85.3,208.5,398.3,709.3,19.8,171.19,161.1,10.09,18.08,2071.5,2048.4,-21.37866587
18.60699155,-4.533959861,-21.37866587,123.2,85.3,44.4,129.7,252.9,442.7,17.5,174.71,171.19,3.52,13.61,2072.5,2071.5,-8.503216491
-4.533959861,-21.37866587,-8.503216491,85.3,44.4,12.9,57.3,142.6,265.8,4.7,174.65,174.71,-0.06,3.46,2076.4,2072.5,-16.72240253
-21.37866587,-8.503216491,-16.72240253,44.4,12.9,9.4,22.3,66.7,152,3.6,173.29,174.65,-1.36,-1.42,2069.2,2076.4,-17.84110501
-8.503216491,-16.72240253,-17.84110501,12.9,9.4,14.5,23.9,36.8,81.2,6.3,168.74,173.29,-4.55,-5.91,2073.4,2069.2,-15.33474754
-16.72240253,-17.84110501,-15.33474754,9.4,14.5,38.4,52.9,62.3,75.2,15.3,164.74,168.74,-4,-8.55,2069.7,2073.4,-5.140312854
-17.84110501,-15.33474754,-5.140312854,14.5,38.4,36.9,75.3,89.8,99.2,13.8,159.97,164.74,-4.77,-8.77,2069.783016,2069.7,-19.2710304
-15.33474754,-5.140312854,-19.2710304,38.4,36.9,106.7,143.6,182,196.5,64,153.97,159.97,-6,-10.77,2067.4,2069.783016,-5.270553591
-5.140312854,-19.2710304,-5.270553591,36.9,106.7,190.7,297.4,334.3,372.7,59,147.06,153.97,-6.91,-12.91,2070.1,2067.4,-12.48026527
-19.2710304,-5.270553591,-12.48026527,106.7,190.7,88.5,279.2,385.9,422.8,42.3,146.19,147.06,-0.87,-7.78,2083.3,2070.1,55.32495974
-5.270553591,-12.48026527,55.32495974,190.7,88.5,237.3,325.8,516.5,623.2,78.6,149.32,146.19,3.13,2.26,2188.6,2083.3,-5.347561282
-12.48026527,55.32495974,-5.347561282,88.5,237.3,129.1,366.4,454.9,645.6,36.9,158.25,149.32,8.93,12.06,2192.1,2188.6,-0.560141165
55.32495974,-5.347561282,-0.560141165,237.3,129.1,143.7,272.8,510.1,598.6,49.1,172.02,158.25,13.77,22.7,2198.8,2192.1,-15.28557854
-5.347561282,-0.560141165,-15.28557854,129.1,143.7,116.8,260.5,389.6,626.9,16.5,174.64,172.02,2.62,16.39,2208.3,2198.8,-7.61158353
-0.560141165,-15.28557854,-7.61158353,143.7,116.8,19.6,136.4,280.1,409.2,7.4,174.73,174.64,0.09,2.71,2208.2,2208.3,-7.745283362
-15.28557854,-7.61158353,-7.745283362,116.8,19.6,10.5,30.1,146.9,290.6,3.6,173.5,174.73,-1.23,-1.14,2215,2208.2,-21.36731403
-7.61158353,-7.745283362,-21.36731403,19.6,10.5,9.6,20.1,39.7,156.5,3.2,170.6,173.5,-2.9,-4.13,2209.6,2215,-6.870567479
-7.745283362,-21.36731403,-6.870567479,10.5,9.6,62.6,72.2,82.7,102.3,29,165.58,170.6,-5.02,-7.92,2201.8,2209.6,-8.312886178
-21.36731403,-6.870567479,-8.312886178,9.6,62.6,62.8,125.4,135,145.5,17.9,163.57,165.58,-2.01,-7.03,2211.6,2201.8,-15.83156026
-6.870567479,-8.312886178,-15.83156026,62.6,62.8,118.9,181.7,244.3,253.9,35.2,157.8,163.57,-5.77,-7.78,2215.8,2211.6,-3.851248691
-8.312886178,-15.83156026,-3.851248691,62.8,118.9,76.7,195.6,258.4,321,46.4,146.9,157.8,-10.9,-16.67,2207.7,2215.8,16.61952236
-15.83156026,-3.851248691,16.61952236,118.9,76.7,177.2,253.9,372.8,435.6,97.4,155.23,146.9,8.33,-2.57,2245.1,2207.7,25.32896939
-3.851248691,16.61952236,25.32896939,76.7,177.2,43.9,221.1,297.8,416.7,22.6,152.97,155.23,-2.26,6.07,2303.9,2245.1,-1.383153705
16.61952236,25.32896939,-1.383153705,177.2,43.9,84.5,128.4,305.6,382.3,24.6,163.04,152.97,10.07,7.81,2314.1,2303.9,-3.450639476
25.32896939,-1.383153705,-3.450639476,43.9,84.5,71.2,155.7,199.6,376.8,12.7,173.09,163.04,10.05,20.12,2331.7,2314.1,-13.6403908
-1.383153705,-3.450639476,-13.6403908,84.5,71.2,27,98.2,182.7,226.6,10.9,174.15,173.09,1.06,11.11,2332.8,2331.7,-3.925086433
-3.450639476,-13.6403908,-3.925086433,71.2,27,12.5,39.5,110.7,195.2,3.9,174.1,174.15,-0.05,1.01,2325.6,2332.8,-14.63230968
